asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0B23JHKTK,"Busy Board - Montessori Toys for 2 Year Old Girl Bithday Gift - 7 in 1 Preschool Learning Activities with Life Skill, Alphabet, Number, Shape, Color, Animal, Weather - Toddler Travel Toys",https://m.media-amazon.com/images/I/81hcIJU+MhL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B23JHKTK,4.6,1299,29.99,39.99,270,False,5000
B082KFTF41,"KOKODI LCD Writing Tablet, 10 Inch Colorful Toddler Doodle Board Drawing Tablet, Erasable Reusable Electronic Drawing Pads, Educational and Learning Toy for 3-6 Years Old Boy and Girls",https://m.media-amazon.com/images/I/71JXJ0I9e-L._AC_UL320_.jpg,https://www.amazon.com/dp/B082KFTF41,4.5,28861,19.99,29.99,270,False,3000
B07GKWLBN2,Water Doodle Mat - Kids Painting Writing Color Doodle Drawing Mat Toy Bring Magic Pens Educational Toys for Age 2 3 4 5 6 7 Year Old Girls Boys Age Toddler Gift,https://m.media-amazon.com/images/I/81yu8G68eTL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GKWLBN2,4.5,26963,25.99,37.99,270,False,7000
B0C2CP3LTQ,"iHaHa Airplane Toys with Toy Car Track Set, Airplane Toys for 2+ 3 Year Old, Garage Parking Lot Playset with 14 Road Signs 4 Inertial Cars 1 Map, Toddler Boy Toys Birthday Gift for 2 3 4 5 6 Years Old",https://m.media-amazon.com/images/I/81jRSO1jg8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C2CP3LTQ,3.6,16,32.99,0.0,270,False,50
B09HFHXKJ5,"Orchard Toys Moose, Farmyard Heads & Tails Game. A First Matching Activity That develops into a Fun Game. 24 Chunky Cards. Age 18 Months+. 1-4 Players",https://m.media-amazon.com/images/I/815dZ3BKOTL._AC_UL320_.jpg,https://www.amazon.com/dp/B09HFHXKJ5,4.7,287,8.79,9.99,270,False,900
B0C7KYG7DW,"JOYIN Carrier Truck Toys for Kids, 12 Die-Cast Metal Toy Cars with 2 Launchers, Foldable Toy Car Track with Lights & Sounds for Boys, Racing Car for Kids Ages 3-5",https://m.media-amazon.com/images/I/91hoeH5b+YL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C7KYG7DW,4.4,29,25.99,0.0,270,False,1000
B0BRZ3L586,"19 in 1 Dinosaur Truck Toys for Kids 3-5,Tyrannosaurus Car Toy with 15 Dino Figures,Large Activity Play Mat, Dinosaur Eggs, Dinosaur Play Set for Boys and Girls,Christmas Xmax,Stocking Stuffers",https://m.media-amazon.com/images/I/81d8c3QPCxL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BRZ3L586,4.5,252,19.99,22.99,270,False,100
B0858LSYY1,"LEGO DUPLO Town Truck & Tracked Excavator Construction Vehicle 10931 Toy for Toddlers 2-4 Years Old Girls & Boys, Fine Motor Skills Development and Learning Toy",https://m.media-amazon.com/images/I/819cX0+kuLL._AC_UL320_.jpg,https://www.amazon.com/dp/B0858LSYY1,4.9,5605,15.99,19.99,270,False,6000
B08JQ9K7HS,Nicmore Toddler Toys Car for Boys: Kids Toys for 1 2 3 4 Year Old Boys Girls | Carrier Toy Trucks | Toddler Toys Age 1-2 2-4 Baby Toys 12-18 Months Birthday Kids Gift,https://m.media-amazon.com/images/I/81G88Gum-1L._AC_UL320_.jpg,https://www.amazon.com/dp/B08JQ9K7HS,4.5,6292,26.99,35.99,270,False,1000
B0BDL5BSW9,"Pretend Makeup Kit for Toddlers Girls, Kids Pretend Play Makeup Set for Little Girls, Fake Toy Makeup Set with Cosmetic Case & Jewelry Set, Present Gift for Kids Girls Age 3 4 5+ ( Fake Makeup )",https://m.media-amazon.com/images/I/71M0sVB5BOL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BDL5BSW9,4.6,257,17.99,20.99,270,False,300
B09MVMTG3D,"iHaHa Toy Trucks Car for 1 2 3 4 5 Year Old Toddlers Boys, 5 in 1 Carrier Truck Car Construction Vehicles Toys for Kids Boys Girls Toddlers Christmas Birthday Gifts, Car Trucks Toys with Light Sound",https://m.media-amazon.com/images/I/71ttuVTXTyL._AC_UL320_.jpg,https://www.amazon.com/dp/B09MVMTG3D,3.9,1962,26.99,0.0,270,False,700
